Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C8",0603,3,0.1uF (1608m),
"C2, C4",1206,2,22p (3216m),
C3,CP_Radial_D6.3mm_P2.50mm,1,100u,
"C5, C6, C7",0603,3,1uF (1608m),
C9,CP_Radial_Tantal_D4.5mm_P2.50mm,1,22uF,
D1,0603,1,RED,
D2,0603,1,GREEN,
F1,1812,1,MF-NSMF050-2 (0.5A),
"J1, J3",ConThrough_XB-3_1x05_P2.54mm_Vertical,2,Conn_01x05,
J2,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J4,PinHeader_2x03_P2.54mm_Vertical_SMD,1,Conn_02x03_Odd_Even,
J5,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
"R1, R2, R5",0603,3,1k,
"R10, R11, R7, R8, R9",0603,5,10k,
"R12, R13",0603,2,2.2k,
"R3, R4",0603,2,5.1k,
R6,0603,1,0,
"SW1, SW2, SW3",SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,3,SW_Push,
SW4,SW_PUSH_6mm,1,TVDP01-G73BB (SW_Push),
U1,TSOT-23-5_HandSoldering,1,RT9080-33GJ5,
U2,ESP-WROOM-02,1,ESP-WROOM-02,
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,R7F102G6C2DSP,
Y1,Crystal_DS26_D2.0mm_L6.0mm_Horizontal,1,32.768kHz,
